Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
VOC14COCObackbone.0.body.layer1.0.downsample./exps/VOC-MS_DETR_Extract_14/eval_VOC-MS_DETR-fgsm-8-_layer_features_seperate_extract_14_train_2_all_encoder_layers.txt
DETR,BDD,COCO,8,,0.1,,1,1,0,85.73,,39.11,,eval_BDD-DETR-fgsm-8-0_extract_1_train_1_th_0_dot_1.txt
DETR,BDD,COCO,8,,0.1,,1,2,1000,86.94,,37.22,,eval_BDD-DETR-fgsm-8-1000_extract_1_train_2_th_0_dot_1.txt
DETR,BDD,COCO,8,,0.1,,1,3,2000,86.21,86.29±0.50,38.94,38.42±0.85,eval_BDD-DETR-fgsm-8-2000_extract_1_train_3_th_0_dot_1.txt
DETR,BDD,COCO,8,,0.4,,1,1,0,82.68,,46.73,,eval_trainth04_testth01_BDD-DETR-fgsm-8-0_extract_1_train_1.txt
DETR,BDD,COCO,8,,0.4,,1,2,1000,84.73,,43.76,,eval_trainth04_testth01_BDD-DETR-fgsm-8-1000_extract_1_train_2.txt
DETR,BDD,COCO,8,,0.4,,1,3,2000,83.87,83.76±0.84,44.74,45.08±1.24,eval_trainth04_testth01_BDD-DETR-fgsm-8-2000_extract_1_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,1,1,0,85.1,,44.85,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_cnn_extract_1_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,1,2,1000,83.7,,48.74,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_cnn_extract_1_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,1,3,2000,85.02,84.61±0.64,45.83,46.47±1.65,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_cnn_extract_1_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,1,1,0,56.44,,70.49,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_dec_extract_1_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,1,2,1000,60.61,,66.8,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_dec_extract_1_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,1,3,2000,57.57,58.21±1.76,70.29,69.19±1.69,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_dec_extract_1_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,1,1,0,74.58,,51.46,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_1_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,1,2,1000,78.65,,48.35,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_1_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,1,3,2000,75.77,76.33±1.71,52.04,50.62±1.62,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_1_train_3.txt
DETR,BDD,OpenImages,8,,0.1,,1,1,0,94.3,,22.05,,eval_BDD-DETR-fgsm-8-0_extract_1_train_1_th_0_dot_1.txt
DETR,BDD,OpenImages,8,,0.1,,1,2,1000,94.69,,21.77,,eval_BDD-DETR-fgsm-8-1000_extract_1_train_2_th_0_dot_1.txt
DETR,BDD,OpenImages,8,,0.1,,1,3,2000,94.51,94.50±0.16,20.5,21.44±0.67,eval_BDD-DETR-fgsm-8-2000_extract_1_train_3_th_0_dot_1.txt
DETR,BDD,OpenImages,8,,0.4,,1,1,0,93.84,,23.35,,eval_trainth04_testth01_BDD-DETR-fgsm-8-0_extract_1_train_1.txt
DETR,BDD,OpenImages,8,,0.4,,1,2,1000,94.57,,21.88,,eval_trainth04_testth01_BDD-DETR-fgsm-8-1000_extract_1_train_2.txt
DETR,BDD,OpenImages,8,,0.4,,1,3,2000,94.59,94.33±0.35,19.39,21.54±1.63,eval_trainth04_testth01_BDD-DETR-fgsm-8-2000_extract_1_train_3.txt
